,feature,f1-neigh,f1-lr,f1-net,av_cos
0,is_eaten_edible,0.1984732824427481,0.8669527896995708,0.8789237668161435,0.3287
1,is_fast,0.3,0.4590163934426229,0.2666666666666666,0.247
2,crowd_is_found_in_seas,0.5970149253731344,0.9583333333333331,0.9375,0.5001
3,is_a_vehicle,0.7586206896551725,0.75,0.6153846153846153,0.3367
4,is_a_musical_instrument,0.7804878048780487,0.9361702127659576,0.8636363636363636,0.4599
5,poly0_is_an_animal,0.2749999999999999,0.9891696750902528,0.9927536231884058,0.3244
6,is_red,0.196078431372549,0.1754385964912281,0.1304347826086956,0.2546
7,does_grow,0.25,0.8129032258064516,0.8108108108108107,0.3704
8,ci_is_food,0.1793103448275862,0.923076923076923,0.9156626506024096,0.3057
9,has_fur_hair,0.425,0.6741573033707866,0.6835443037974684,0.344
10,made_of_metal,0.0195121951219512,0.8238213399503722,0.8390243902439024,0.1622
11,ci_is_found_in_seas,0.6557377049180327,0.9696969696969696,0.9634146341463414,0.4367
12,is_found_in_seas,0.6274509803921569,0.787878787878788,0.7999999999999999,0.3779
13,is_colourful,0.0,0.2950819672131148,0.25,0.2117
14,is_grown,0.3902439024390243,0.3783783783783784,0.3125,0.4186
15,ci_is_red,0.1714285714285714,0.5185185185185185,0.5106382978723404,0.2343
16,has_a_stalk_stem,0.2790697674418604,0.6349206349206349,0.576923076923077,0.3992
17,has_roots,0.074074074074074,0.7234042553191489,0.6190476190476191,0.3665
18,has_a_blade_blades,0.4137931034482759,0.7058823529411765,0.6451612903225806,0.3181
19,ci_has_wheels,0.7118644067796611,0.9523809523809524,0.9523809523809524,0.3781
20,is_for_children,0.0,0.2352941176470588,0.0,0.1899
21,does_make_sound_a_noise,0.6363636363636364,0.7450980392156864,0.7234042553191489,0.3527
22,has_a_seat_seats,0.358974358974359,0.4705882352941176,0.2631578947368421,0.221
23,has_a_handle_handles,0.1298701298701298,0.5846153846153846,0.5641025641025642,0.2207
24,has_eyes,0.2033898305084745,0.2820512820512821,0.1071428571428571,0.2936
25,is_a_weapon,0.4848484848484848,0.7272727272727272,0.5945945945945945,0.3018
26,ci_is_dangerous,0.2596153846153846,0.8818443804034581,0.8863636363636364,0.2432
